"retired_household_head","basic_education_household_head","professional_education_household_head","locality_100000_plus","locality_15000_to_99999","locality_2500_to_14999","structural_fractures_or_deformation","cracks_in_roofs_or_walls","dampness_or_water_leaks","floor_uplift_or_sinking","warping_in_door_or_window_frames","internal_pipe_problems","electrical_system_problems","persons_per_sleeping_room","title_deed_owner_name","title_deed_other_person_name","no_title_deed","unknown_title_deed_status","purchased_completed_dwelling","commissioned_construction_dwelling","self_built_or_relatives_built_dwelling","inherited_dwelling","government_supported_dwelling","detached_house_own_lot","house_sharing_lot","duplex_house","apartment_in_building","tenement_or_rooming_house","rooftop_room_in_building","adapted_nonresidential_premises","earth_floor","cement_floor","waste_material_walls","cardboard_sheet_walls","asbestos_or_metal_sheet_walls","cane_bamboo_or_palm_walls","mud_and_wattle_walls","wood_walls","adobe_walls","waste_material_roof","cardboard_sheet_roof","metal_sheet_roof","asbestos_sheet_roof","fiber_cement_sheet_roof","palm_or_straw_roof","wood_shingle_roof","earthen_roof_with_beams","tile_roof","northwest_region","northeast_region","mexico_city_region","central_south_east_region","southern_region","construction_related_occupation_household_head","internet_connection","bank_or_commercial_credit_card","household_affected_by_climate_event","female_household_head","married_household_head","internet_x_construction_occupation","log_income","log_remittances","log_expenditure","internet_x_remittances","log_housing_installment","log_rent"
0,1,0,1,0,0,1,1,1,1,0,0,0,1.5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,11.0990781743214,0,7.57892266393402,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,11.723906876384,0,7.29124059148224,0,0,0
0,0,1,1,0,0,1,1,1,1,1,1,1,1.33333333333333,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,11.2672342396642,0,7.98983498791589,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,10.8194702369685,0,8.67753495260213,0,0,0
0,0,0,1,0,0,0,0,1,0,1,0,0,2.5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,11.4427315153348,0,8.97066720621071,0,0,0
0,0,1,1,0,0,0,0,1,0,0,0,0,0.5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,11.5918420926998,0,9.68549322120458,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,11.4680316501632,0,6.88577548337408,0,8.56155451511499,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,11.1059131605709,0,8.50614235522915,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,12.0355315656322,0,8.90067850391634,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,12.0355315656322,0,8.90067850391634,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,11.2742381071946,0,8.27206984449397,0,0,0
0,0,0,1,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,11.6923416385563,0,8.50066128946165,0,0,0
1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,10.5159492146973,0,6.88577548337408,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,11.8620144884333,0,10.5746557041551,0,0,0
0,0,1,1,0,0,0,1,1,0,0,0,0,1.33333333333333,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,11.542650855277,0,9.18836057636812,0,0,0
0,0,0,1,0,0,0,1,1,0,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,10.4388167954246,0,10.235680287998,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,10.7391782381191,0,7.80206621524823,0,0,0
0,0,0,1,0,0,0,1,1,0,1,0,0,1.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,11.1352432627444,0,7.11984597188297,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1.5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,10.6415500186583,0,5.83246881561752,0,8.76219059815237,0
